transactionHash,fromAddress,fromLabel,fromAddressOwner,fromOwnerLabel,fromIsContract,toAddress,toLabel,toAddressOwner,toOwnerLabel,toIsContract,tokenAddress,type,blockTimestamp,blockNumber,blockHash,tokenName,tokenSymbol,tokenDecimals,unitValue,tokenId,historicalUSD,chain
bYWPt8ggTwybc2jqfLxunBNoVgaGViUKPUHveoWKwqemTSMzWfxfhRgU6dXU3twD3ysZYTWBy3XdpRgkGyaWfDf,EnSawje2vQSQKtGbPYdXEuYKm2sHgeLKJTqCmrDErKEA,EnSawje2vQSQKtGbPYdXEuYKm2sHgeLKJTqCmrDErKEA,EnSawje2vQSQKtGbPYdXEuYKm2sHgeLKJTqCmrDErKEA,EnSawje2vQSQKtGbPYdXEuYKm2sHgeLKJTqCmrDErKEA,false,8qNUJnnJe6beLe1GPpRaw3m9qD7bk2JarJScpqfCdkEH,OKX Deposit (8qNUJ),8qNUJnnJe6beLe1GPpRaw3m9qD7bk2JarJScpqfCdkEH,OKX Deposit (8qNUJ),false,,,2024-04-04T21:16:43Z,258374088,48amt3EXj94mpR9CuaLMU1qk55XGQnd7fC9hYvrH4ZiK,Solana,SOL,9,43435,solana,8034606.3,solana
5RmCyxQZg7MzZPjbVHgTEcMff1NiRXppZ9UG1LoyCKBxxPXoeYaRGgKfKkgKSR8t9DbdVPy4ZF72HcKMtMf2zH3X,EnSawje2vQSQKtGbPYdXEuYKm2sHgeLKJTqCmrDErKEA,EnSawje2vQSQKtGbPYdXEuYKm2sHgeLKJTqCmrDErKEA,EnSawje2vQSQKtGbPYdXEuYKm2sHgeLKJTqCmrDErKEA,EnSawje2vQSQKtGbPYdXEuYKm2sHgeLKJTqCmrDErKEA,false,8qNUJnnJe6beLe1GPpRaw3m9qD7bk2JarJScpqfCdkEH,OKX Deposit (8qNUJ),8qNUJnnJe6beLe1GPpRaw3m9qD7bk2JarJScpqfCdkEH,OKX Deposit (8qNUJ),false,,,2024-04-19T14:57:15Z,261063604,5UEae8jbAP8C8z5z94PzVKupJ5L7kqQUgW4NPB2RBZAr,Solana,SOL,9,34555,solana,4900590.1,solana
4FUKUrfaS3tV5Att8HvukwTUoutRwxJgbaCFGTKDzSMWt8neM6SmuyqAi3iEDvTbUq2sCeoVwXH93WvvAR8G6wg5,EnSawje2vQSQKtGbPYdXEuYKm2sHgeLKJTqCmrDErKEA,EnSawje2vQSQKtGbPYdXEuYKm2sHgeLKJTqCmrDErKEA,EnSawje2vQSQKtGbPYdXEuYKm2sHgeLKJTqCmrDErKEA,EnSawje2vQSQKtGbPYdXEuYKm2sHgeLKJTqCmrDErKEA,false,8qNUJnnJe6beLe1GPpRaw3m9qD7bk2JarJScpqfCdkEH,OKX Deposit (8qNUJ),8qNUJnnJe6beLe1GPpRaw3m9qD7bk2JarJScpqfCdkEH,OKX Deposit (8qNUJ),false,,,2024-04-08T21:59:52Z,259081253,2h3fwYgtmGuF6xBdueqs73zLnHNKYGy1Ec47tAHSpbCE,Solana,SOL,9,18403,solana,3298185.66,solana
5PwD3BXfgCgqVxmoVu2Kob7E4nujQFtmaUtMpuR6bpZdmytF6BCaxFLFh6bEfS3eXPBwophNpK6NBUK7QS8ASRTt,EnSawje2vQSQKtGbPYdXEuYKm2sHgeLKJTqCmrDErKEA,EnSawje2vQSQKtGbPYdXEuYKm2sHgeLKJTqCmrDErKEA,EnSawje2vQSQKtGbPYdXEuYKm2sHgeLKJTqCmrDErKEA,EnSawje2vQSQKtGbPYdXEuYKm2sHgeLKJTqCmrDErKEA,false,8qNUJnnJe6beLe1GPpRaw3m9qD7bk2JarJScpqfCdkEH,OKX Deposit (8qNUJ),8qNUJnnJe6beLe1GPpRaw3m9qD7bk2JarJScpqfCdkEH,OKX Deposit (8qNUJ),false,,,2024-05-01T20:03:06Z,263325476,9Auf9MP5jz1G2JHVMTJ1CF9hZXb4zBAqxSH1L8T4Wqxp,Solana,SOL,9,19816.924916502,solana,2510606.2176716384,solana
5KSSgWWhyQAQWCMfVU8sE7DH4AGByWrhTJUm2sWM48gDkGviNkopCZxsqgU8R9JaC78d4PPjPtZUmRaj819JQ1uT,EnSawje2vQSQKtGbPYdXEuYKm2sHgeLKJTqCmrDErKEA,EnSawje2vQSQKtGbPYdXEuYKm2sHgeLKJTqCmrDErKEA,EnSawje2vQSQKtGbPYdXEuYKm2sHgeLKJTqCmrDErKEA,EnSawje2vQSQKtGbPYdXEuYKm2sHgeLKJTqCmrDErKEA,false,8qNUJnnJe6beLe1GPpRaw3m9qD7bk2JarJScpqfCdkEH,OKX Deposit (8qNUJ),8qNUJnnJe6beLe1GPpRaw3m9qD7bk2JarJScpqfCdkEH,OKX Deposit (8qNUJ),false,,,2024-05-01T20:06:54Z,263325976,282TNj7UyS86qxvDTHTj7RhZLeSwdWkURbHNxBjXRpWX,Solana,SOL,9,18990,solana,2405843.1,solana
hLUve1Z7zcS7rh3dQ77Da3x6hQaictwLAyfQSkK78pQYN8FYSUE1FxjS9MtUWswDABvn2K7a7NB9x1ipsKGJtTZ,7SMHfJ5A8buhkU84NBSQTFUaKfdvbRg9NSauBvRUUF46,7SMHfJ5A8buhkU84NBSQTFUaKfdvbRg9NSauBvRUUF46,EnSawje2vQSQKtGbPYdXEuYKm2sHgeLKJTqCmrDErKEA,EnSawje2vQSQKtGbPYdXEuYKm2sHgeLKJTqCmrDErKEA,false,6pu3mT2qLBp1q9QPGHfWUB7NbU5UPHL2D28WoYaDw7Qh,Jupiter (6pu3m),FPMZFmWDyABwsuPGv3DKFDW1dzMd1pAwv2vGBMWtN8Dp,Jupiter: DCA Account (FPMZF),false,HQ7DaoiUxzC2K1Dr7KXRHccNtXvEYgNvoUextXe8dmBh,,2024-11-17T17:21:25Z,301977828,7UVAd6p6PyXUBm7u6w7vN9SQR8nqkML4JLTwGCi58r6h,Slothana,SLOTH,6,174497116.497294,slothana,1537966.9806433653,solana
5f8RgSuCxBJafUQb9K7eRKRJJA4RoGqocWP3q1H8h8Qpr8zkG7YQtRBBKMakDSwtgrspSHQxZ2oYNaagivHH23XD,E6oV3b9mgi68D8ghQUcQWhydrtPQ9MJ6k1BkKijuQVRN,E6oV3b9mgi68D8ghQUcQWhydrtPQ9MJ6k1BkKijuQVRN,EnSawje2vQSQKtGbPYdXEuYKm2sHgeLKJTqCmrDErKEA,EnSawje2vQSQKtGbPYdXEuYKm2sHgeLKJTqCmrDErKEA,false,5xQzJAvJ7Ut4qoTwiKECnaMDUhZFivx96EFomcBbUShq,Raydium (5xQzJ),5Q544fKrFoe6tsEbD7S8EmxGTJYAKtTVhAW5Q5pge4j1,Raydium: Authority V4 (5Q544),false,So11111111111111111111111111111111111111112,,2024-05-01T14:36:52Z,263282901,7T2ZB1iQxwhpiFzBHqwVic7p54FJ2NQ5xVpDyw2ZDstb,Wrapped Solana,WSOL,9,10000,wrapped-solana,1268700,solana
5f8RgSuCxBJafUQb9K7eRKRJJA4RoGqocWP3q1H8h8Qpr8zkG7YQtRBBKMakDSwtgrspSHQxZ2oYNaagivHH23XD,EnSawje2vQSQKtGbPYdXEuYKm2sHgeLKJTqCmrDErKEA,EnSawje2vQSQKtGbPYdXEuYKm2sHgeLKJTqCmrDErKEA,EnSawje2vQSQKtGbPYdXEuYKm2sHgeLKJTqCmrDErKEA,EnSawje2vQSQKtGbPYdXEuYKm2sHgeLKJTqCmrDErKEA,false,E6oV3b9mgi68D8ghQUcQWhydrtPQ9MJ6k1BkKijuQVRN,E6oV3b9mgi68D8ghQUcQWhydrtPQ9MJ6k1BkKijuQVRN,E6oV3b9mgi68D8ghQUcQWhydrtPQ9MJ6k1BkKijuQVRN,E6oV3b9mgi68D8ghQUcQWhydrtPQ9MJ6k1BkKijuQVRN,false,,,2024-05-01T14:36:52Z,263282901,7T2ZB1iQxwhpiFzBHqwVic7p54FJ2NQ5xVpDyw2ZDstb,Solana,SOL,9,10000.00203928,solana,1266900.2583563833,solana
4B8Vc9aKxLBiUcNTjavYmPgBfnL6B6S5cnwRPsK5VSa9T7NWMAG4Ui19kspV9yJxfUhmSjLL98i3wxiFRNjwhFNg,EnSawje2vQSQKtGbPYdXEuYKm2sHgeLKJTqCmrDErKEA,EnSawje2vQSQKtGbPYdXEuYKm2sHgeLKJTqCmrDErKEA,EnSawje2vQSQKtGbPYdXEuYKm2sHgeLKJTqCmrDErKEA,EnSawje2vQSQKtGbPYdXEuYKm2sHgeLKJTqCmrDErKEA,false,4PNAfWFTjsgtEP2KaQVEX55cXxuwhax4p9Y46j2EFt53,OKX Deposit (4PNAf),4PNAfWFTjsgtEP2KaQVEX55cXxuwhax4p9Y46j2EFt53,OKX Deposit (4PNAf),false,,,2025-01-19T19:08:03Z,315059286,4xjfPqH91wXZp3fjE4ayDzqAuS3MhD1auHSKs53fz7xD,Solana,SOL,9,2879,solana,784268.3900000001,solana
4o4Pzbo7TNv9bsQHjinLBTJqMqWFwPzvNKxz5gyPK9ntFNWpqVwmNm9xALWr5bGhtEgjWactNbMjvn8fJcvmsQ4k,EnSawje2vQSQKtGbPYdXEuYKm2sHgeLKJTqCmrDErKEA,EnSawje2vQSQKtGbPYdXEuYKm2sHgeLKJTqCmrDErKEA,EnSawje2vQSQKtGbPYdXEuYKm2sHgeLKJTqCmrDErKEA,EnSawje2vQSQKtGbPYdXEuYKm2sHgeLKJTqCmrDErKEA,false,8qNUJnnJe6beLe1GPpRaw3m9qD7bk2JarJScpqfCdkEH,OKX Deposit (8qNUJ),8qNUJnnJe6beLe1GPpRaw3m9qD7bk2JarJScpqfCdkEH,OKX Deposit (8qNUJ),false,,,2024-05-01T15:24:29Z,263289195,3Tmu5QU1aSKxNYJ1E5j9S9Mom1ZizZ89WqYFdCHcK37s,Solana,SOL,9,5000,solana,633450,solana
kEbu56cHLHttWieFCTJDte4yMCBJZL3k2TvJbjrn6jSjg88j7Ezkc9Q8nvwQSoUxePCwS3cKzUuAbajtoa2whQN,EnSawje2vQSQKtGbPYdXEuYKm2sHgeLKJTqCmrDErKEA,EnSawje2vQSQKtGbPYdXEuYKm2sHgeLKJTqCmrDErKEA,EnSawje2vQSQKtGbPYdXEuYKm2sHgeLKJTqCmrDErKEA,EnSawje2vQSQKtGbPYdXEuYKm2sHgeLKJTqCmrDErKEA,false,3CrwgBnUzzsVRsRYb2jKdBuPxDycz5Ua79Y6rmnYVBxo,3CrwgBnUzzsVRsRYb2jKdBuPxDycz5Ua79Y6rmnYVBxo,3CrwgBnUzzsVRsRYb2jKdBuPxDycz5Ua79Y6rmnYVBxo,3CrwgBnUzzsVRsRYb2jKdBuPxDycz5Ua79Y6rmnYVBxo,false,,,2024-12-23T14:08:40Z,309314437,38MFkTJpcHqVGDN8RALJnTep4WvcYqNgimiNZME3wih6,Solana,SOL,9,2560.07724936,solana,466113.2647909752,solana
5hudB4qzfbmJuC4VV9Qcw6gcGwpf69aAJaxRAAz3Ww2QtLaDehUnZSc8EyC4PaRDrQtZRRqyurARkJkRkdcaed8h,EnSawje2vQSQKtGbPYdXEuYKm2sHgeLKJTqCmrDErKEA,EnSawje2vQSQKtGbPYdXEuYKm2sHgeLKJTqCmrDErKEA,EnSawje2vQSQKtGbPYdXEuYKm2sHgeLKJTqCmrDErKEA,EnSawje2vQSQKtGbPYdXEuYKm2sHgeLKJTqCmrDErKEA,false,2je87nCdvxE2EaxYAuEd17seGsHbt3pALFnvhwq8b3TU,Binance Deposit (2je87),2je87nCdvxE2EaxYAuEd17seGsHbt3pALFnvhwq8b3TU,Binance Deposit (2je87),false,,,2024-11-26T16:09:21Z,303764180,HhHBXiNL5wCitWjHtvxZUM2C6C4bWJBdgJPPTZMSEK7A,Solana,SOL,9,1396,solana,318427.6,solana
4KTx3kCmy72eacxNASroqafB4pCuUDH4bv3MCGSre4RhxUvAJaYwVrtQneQpz1yEGqHLsxFGWkySrLWJHGgRL9hz,EnSawje2vQSQKtGbPYdXEuYKm2sHgeLKJTqCmrDErKEA,EnSawje2vQSQKtGbPYdXEuYKm2sHgeLKJTqCmrDErKEA,EnSawje2vQSQKtGbPYdXEuYKm2sHgeLKJTqCmrDErKEA,EnSawje2vQSQKtGbPYdXEuYKm2sHgeLKJTqCmrDErKEA,false,EHoryMo8YjLPRAdXFj1GJFjdygJ2MjPfG3DvDiHfka8z,EHoryMo8YjLPRAdXFj1GJFjdygJ2MjPfG3DvDiHfka8z,EHoryMo8YjLPRAdXFj1GJFjdygJ2MjPfG3DvDiHfka8z,EHoryMo8YjLPRAdXFj1GJFjdygJ2MjPfG3DvDiHfka8z,false,,,2024-05-01T14:35:00Z,263282664,HyqoHyBNtpJejF7W3LtCAxV2xaedrGHESEzNhRXMdncm,Solana,SOL,9,400,solana,50676,solana
gLHqD6Bp7dcDQGJByFZ7eYXwmZiyNAQToAZDDkyyQpqtd4YKsjoKu8wweKxCJfppQwg9N4WXNwHoFYE4xfhuHmt,EnSawje2vQSQKtGbPYdXEuYKm2sHgeLKJTqCmrDErKEA,EnSawje2vQSQKtGbPYdXEuYKm2sHgeLKJTqCmrDErKEA,EnSawje2vQSQKtGbPYdXEuYKm2sHgeLKJTqCmrDErKEA,EnSawje2vQSQKtGbPYdXEuYKm2sHgeLKJTqCmrDErKEA,false,8qNUJnnJe6beLe1GPpRaw3m9qD7bk2JarJScpqfCdkEH,OKX Deposit (8qNUJ),8qNUJnnJe6beLe1GPpRaw3m9qD7bk2JarJScpqfCdkEH,OKX Deposit (8qNUJ),false,,,2024-06-13T20:35:07Z,271663881,GidP4vv7uq42wMPEfAciUCmhSSQoSZwMYrP6bpuM9Kw1,Solana,SOL,9,322,solana,49910,solana
51zkKwtdTmbGZFbwdQfm1V8xFKk9xUyKrbDQ2rB6Ttry2igYXtCxSVJ5gcWh4PjjcQp6SvMhVi6Ne2qJSZMZpsWN,EnSawje2vQSQKtGbPYdXEuYKm2sHgeLKJTqCmrDErKEA,EnSawje2vQSQKtGbPYdXEuYKm2sHgeLKJTqCmrDErKEA,EnSawje2vQSQKtGbPYdXEuYKm2sHgeLKJTqCmrDErKEA,EnSawje2vQSQKtGbPYdXEuYKm2sHgeLKJTqCmrDErKEA,false,oPjce82yKzQabDQ2nME3Mkso9eUCjwKQtQoSvtbE4QG,oPjce82yKzQabDQ2nME3Mkso9eUCjwKQtQoSvtbE4QG,oPjce82yKzQabDQ2nME3Mkso9eUCjwKQtQoSvtbE4QG,oPjce82yKzQabDQ2nME3Mkso9eUCjwKQtQoSvtbE4QG,false,,,2024-04-16T19:08:38Z,260510677,F57yCnT85vrnYJtwrmKWH8nghSVpFvdRTcqngXNhdcm2,Solana,SOL,9,73,solana,10092.25,solana
HRG61nSo5C83DE5iVvQnhpSLZTbYD1K1k8VS4mCAfyPW4UXVFSY75osRW7NHYoYnpLALamnKHbzksVAzCNXUwEA,EnSawje2vQSQKtGbPYdXEuYKm2sHgeLKJTqCmrDErKEA,EnSawje2vQSQKtGbPYdXEuYKm2sHgeLKJTqCmrDErKEA,EnSawje2vQSQKtGbPYdXEuYKm2sHgeLKJTqCmrDErKEA,EnSawje2vQSQKtGbPYdXEuYKm2sHgeLKJTqCmrDErKEA,false,oPjce82yKzQabDQ2nME3Mkso9eUCjwKQtQoSvtbE4QG,oPjce82yKzQabDQ2nME3Mkso9eUCjwKQtQoSvtbE4QG,oPjce82yKzQabDQ2nME3Mkso9eUCjwKQtQoSvtbE4QG,oPjce82yKzQabDQ2nME3Mkso9eUCjwKQtQoSvtbE4QG,false,,,2024-05-21T11:54:47Z,267097128,7c9pLmzLzk2RipnPb1J4modHWjYh68VxXab8jZKSpQSQ,Solana,SOL,9,50,solana,9323.5,solana